iter	Passed	Remaining
0	151	151666
1	152	76296
2	154	51355
3	155	38802
4	156	31228
5	159	26366
6	161	22874
7	163	20220
8	164	18143
9	166	16495
10	168	15159
11	171	14110
12	173	13157
13	175	12357
14	177	11668
15	179	11052
16	181	10506
17	183	10037
18	185	9590
19	187	9193
20	189	8848
21	192	8535
22	194	8247
23	196	7983
24	198	7728
25	200	7493
26	201	7272
27	203	7067
28	204	6860
29	206	6681
30	208	6532
31	210	6375
32	212	6239
33	214	6097
34	216	5972
35	218	5842
36	221	5775
37	223	5647
38	223	5517
39	224	5391
40	225	5272
41	226	5159
42	226	5051
43	227	4947
44	228	4846
45	229	4752
46	229	4660
47	230	4576
48	231	4501
49	232	4426
50	233	4349
51	234	4282
52	236	4227
53	237	4157
54	238	4091
55	238	4025
56	239	3968
57	241	3925
58	242	3868
59	244	3824
60	246	3788
61	248	3756
62	250	3723
63	251	3683
64	253	3647
65	255	3612
66	257	3582
67	257	3535
68	259	3501
69	261	3477
70	263	3448
71	265	3418
72	266	3381
73	266	3340
74	267	3303
75	269	3272
76	270	3244
77	272	3217
78	273	3184
79	273	3149
80	274	3115
81	275	3084
82	276	3059
83	278	3033
84	278	2999
85	279	2968
86	280	2942
87	281	2921
88	283	2900
89	284	2873
90	284	2846
91	285	2822
92	287	2803
93	289	2786
94	290	2768
95	291	2749
96	293	2730
97	294	2712
98	296	2694
99	297	2676
100	298	2660
101	300	2641
102	301	2624
103	302	2609
104	303	2589
105	304	2567
106	305	2547
107	306	2532
108	308	2520
109	309	2507
110	311	2493
111	312	2480
112	314	2467
113	315	2454
114	317	2440
115	317	2422
116	318	2404
117	320	2393
118	321	2379
119	322	2368
120	324	2357
121	331	2387
122	332	2369
123	335	2368
124	336	2354
125	337	2339
126	338	2323
127	338	2308
128	340	2297
129	340	2281
130	341	2267
131	342	2252
132	343	2238
133	344	2223
134	344	2208
135	346	2202
136	347	2189
137	348	2174
138	348	2161
139	350	2150
140	351	2142
141	353	2133
142	354	2121
143	354	2108
144	355	2096
145	356	2086
146	357	2074
147	358	2061
148	359	2054
149	360	2043
150	361	2031
151	362	2020
152	362	2008
153	363	1997
154	364	1985
155	364	1974
156	366	1965
157	367	1958
158	368	1951
159	370	1943
160	371	1938
161	373	1932
162	375	1929
163	377	1924
164	379	1918
