iter	Passed	Remaining
0	139	139596
1	140	70081
2	141	46904
3	142	35358
4	142	28424
5	143	23767
6	144	20448
7	144	17959
8	145	16050
9	146	14480
10	146	13203
11	147	12147
12	148	11267
13	149	10501
14	149	9824
15	150	9232
16	150	8711
17	151	8243
18	151	7831
19	152	7457
20	152	7116
21	153	6808
22	153	6528
23	154	6272
24	154	6035
25	155	5814
26	155	5611
27	156	5426
28	156	5249
29	157	5084
30	157	4930
31	158	4786
32	158	4653
33	159	4524
34	159	4404
35	160	4290
36	160	4184
37	161	4090
38	162	3994
39	162	3904
40	163	3817
41	163	3735
42	164	3655
43	164	3579
44	165	3506
45	165	3435
46	166	3368
47	166	3304
48	167	3245
49	167	3188
50	168	3132
51	168	3076
52	169	3023
53	169	2972
54	170	2924
55	170	2877
56	171	2831
57	171	2788
58	172	2747
59	172	2705
60	173	2666
61	173	2628
62	174	2593
63	174	2556
64	175	2521
65	175	2486
66	176	2453
67	176	2421
68	177	2390
69	177	2359
70	178	2329
71	178	2300
72	178	2272
73	179	2244
74	179	2218
75	180	2194
76	180	2169
77	181	2144
78	181	2119
79	182	2096
80	182	2072
81	183	2049
82	183	2025
83	183	2003
84	184	1983
85	184	1962
86	185	1942
87	185	1922
88	186	1904
89	186	1886
90	187	1869
91	187	1852
92	188	1834
93	188	1817
94	189	1800
95	189	1784
96	189	1768
97	190	1752
98	190	1736
99	191	1722
100	191	1707
101	192	1692
102	192	1679
103	193	1666
104	193	1652
105	194	1638
106	194	1625
107	195	1612
108	195	1599
109	196	1586
110	196	1574
111	197	1561
112	197	1549
113	197	1537
114	198	1526
115	198	1515
116	199	1504
117	199	1493
118	200	1482
119	200	1472
120	201	1463
121	201	1452
122	202	1442
123	202	1433
124	203	1423
125	203	1414
126	204	1403
127	204	1394
128	205	1385
129	205	1377
130	206	1368
131	206	1359
132	207	1351
133	207	1342
134	208	1334
135	208	1326
136	209	1318
137	209	1309
138	210	1301
139	210	1293
140	211	1285
141	211	1277
142	211	1270
143	212	1263
144	213	1256
145	213	1249
146	214	1242
147	214	1236
148	215	1230
149	216	1224
150	216	1217
151	216	1210
152	217	1203
153	218	1197
154	218	1191
155	219	1185
156	219	1179
157	220	1173
158	220	1167
159	221	1161
160	221	1154
161	221	1148
162	222	1142
163	222	1136
164	223	1130
165	223	1125
166	224	1120
167	225	1114
168	225	1109
169	226	1103
170	226	1098
171	227	1093
172	227	1087
173	227	1082
174	228	1076
175	228	1071
176	229	1066
177	229	1061
178	230	1057
179	231	1052
180	231	1047
181	231	1042
182	232	1037
183	232	1033
184	233	1028
185	233	1023
186	234	1018
187	234	1014
188	235	1009
189	235	1005
190	236	1000
191	237	997
192	237	993
193	237	988
194	238	984
195	238	980
196	239	976
197	239	971
198	240	967
199	240	963
200	241	959
201	241	955
202	242	951
203	243	948
204	243	944
205	244	940
206	244	937
207	245	933
208	245	929
209	246	925
210	246	922
211	247	918
212	247	914
213	248	911
214	248	907
215	249	904
216	249	900
217	250	897
218	250	893
219	251	890
220	251	886
221	252	883
222	252	879
223	252	876
224	253	872
225	253	869
226	254	865
227	254	862
228	255	859
229	255	856
230	256	853
231	256	850
232	257	847
233	257	844
234	258	841
235	258	838
236	259	835
237	259	831
238	260	829
239	260	825
240	261	823
241	261	820
242	262	817
243	262	814
244	263	811
245	263	808
246	264	806
247	264	803
248	265	800
249	265	797
250	266	794
251	266	791
252	267	788
253	267	786
254	268	783
255	268	781
256	269	779
257	269	776
258	270	773
259	270	771
260	271	768
261	272	766
262	272	763
263	273	761
264	273	758
265	274	756
266	274	753
267	275	751
268	275	749
269	276	746
270	276	744
271	277	742
272	277	739
273	278	737
274	278	734
275	279	732
276	279	730
277	280	727
278	280	726
279	281	723
280	281	721
281	282	719
282	282	716
283	283	714
284	283	712
285	284	709
286	284	707
287	285	705
288	286	703
289	286	701
290	287	699
291	287	697
292	288	695
293	288	693
294	289	690
295	289	688
296	290	686
297	290	684
298	291	682
299	291	680
300	292	678
301	292	676
302	293	674
303	293	672
304	294	670
305	294	668
306	295	666
307	295	664
308	296	661
309	296	659
310	296	657
311	297	656
312	297	653
313	298	651
314	298	650
315	299	648
316	300	646
317	300	644
318	301	642
319	301	640
320	302	638
321	302	636
322	302	635
323	303	633
324	303	631
325	304	629
326	304	627
327	305	625
328	305	623
329	306	621
330	306	620
331	307	618
332	307	616
333	308	614
334	308	612
335	309	610
336	309	609
337	310	607
338	310	605
339	311	604
340	311	602
341	312	601
342	312	599
343	313	597
344	313	595
345	314	594
346	314	592
347	315	590
348	315	588
349	316	587
350	316	585
351	317	583
352	317	582
353	318	580
354	318	579
355	319	577
356	319	575
357	320	574
358	320	572
359	321	570
360	321	569
361	322	567
362	322	566
363	323	564
364	323	563
365	324	561
366	324	560
367	325	558
368	325	557
369	326	555
370	326	554
371	327	552
372	327	551
373	328	549
374	328	548
375	329	546
376	329	545
377	330	543
378	331	542
379	331	540
380	332	539
381	332	537
382	333	536
383	333	535
384	334	533
385	334	532
386	334	530
387	335	529
388	335	527
389	336	526
390	337	524
391	337	523
392	337	522
393	338	520
394	338	519
395	339	517
396	339	516
397	340	514
398	340	513
399	341	511
400	341	510
401	342	508
402	342	507
403	343	506
404	343	504
405	344	503
406	344	502
407	345	500
408	345	499
409	346	498
410	346	496
411	347	495
412	347	494
413	348	492
414	348	491
415	348	489
416	349	488
417	350	487
418	350	486
419	350	484
420	351	483
421	351	482
422	352	480
423	352	479
424	353	478
425	353	476
426	354	475
427	354	474
428	355	472
429	355	471
430	356	470
431	356	469
432	357	467
433	357	466
434	358	465
435	358	464
436	359	462
437	359	461
438	360	460
439	361	459
440	361	458
441	362	457
442	363	456
443	363	455
444	364	454
445	364	452
446	365	451
447	365	450
448	365	449
449	366	447
450	366	446
451	367	445
452	367	444
453	368	443
454	369	442
455	369	441
456	370	439
457	370	438
458	371	437
459	371	436
460	372	435
461	372	434
462	373	432
463	373	431
464	374	430
465	374	429
466	375	428
467	375	427
468	376	425
469	376	424
470	377	423
471	377	422
472	378	421
473	378	420
474	379	418
475	379	417
476	379	416
477	380	415
478	381	414
479	381	413
480	382	412
481	382	411
482	383	410
483	383	409
484	384	407
485	384	406
486	385	405
487	385	404
488	386	403
489	386	402
490	387	401
491	387	400
492	388	399
493	388	398
494	389	396
495	389	395
496	389	394
497	390	393
498	391	392
499	391	391
500	391	390
501	392	389
502	392	388
503	393	387
504	393	386
505	394	384
506	394	384
507	395	382
508	396	382
509	396	380
510	397	379
511	397	378
512	397	377
513	398	376
514	398	375
515	399	374
516	399	373
517	400	372
518	401	371
519	401	370
520	402	369
521	402	368
522	403	367
523	403	366
524	404	365
525	404	364
526	405	363
527	406	362
528	406	362
529	407	361
530	407	360
531	408	359
532	408	358
533	409	357
534	409	356
535	410	355
536	410	354
537	411	353
538	411	352
539	412	351
540	413	350
541	413	349
542	414	348
543	414	347
544	415	346
545	415	345
546	416	344
547	416	343
548	417	342
549	417	341
550	418	340
551	418	339
552	419	339
553	419	338
554	420	337
555	421	336
556	421	335
557	422	334
558	422	333
559	422	332
560	423	331
561	423	330
562	424	329
563	425	328
564	425	327
565	426	326
566	426	325
567	427	324
568	427	324
569	428	323
570	428	322
571	429	321
572	429	320
573	430	319
574	430	318
575	431	317
576	431	316
577	432	315
578	432	314
579	433	313
580	433	312
581	434	311
582	434	310
583	435	309
584	435	308
585	435	308
586	436	307
587	436	306
588	437	305
589	438	304
590	438	303
591	439	302
592	439	301
593	440	300
594	440	300
595	441	299
596	441	298
597	442	297
598	442	296
599	443	295
600	443	294
601	444	293
602	444	292
603	445	291
604	445	290
605	446	290
606	446	289
607	447	288
608	447	287
609	448	286
610	448	285
611	448	284
612	449	283
613	450	282
614	450	282
615	451	281
